N,E,Elev (m),Acc (m),aquifer,depth (ft),Results,water temp ©,pH,EC (uS/cm),TDS (mg/L),turb (NTU),TLF1 (ppb),TLF2 (ppb),TLF3 (ppb),CDOM1 (ppb),CDOM2 (ppb),CDOM3 (ppb),TLF_Avg (ppb),CDOM_Avg (ppb),TLF:CDOM,E.coli (MPN/100mL),DOC (mg/L)
-2.281753343,-0.734956737,0.412319818,2.449489743,deep,unknown,safe,0.088151929,-2.359154413,1.426143691,1.613166093,-0.49713894,-0.504618945,-0.505723908,-0.503080429,-0.562871136,-0.563674709,-0.560141197,-0.504456355,-0.562464235,0.001663841,0.040620342,-0.453566898
-0.721734958,-0.301695154,-0.035853897,2.449489743,shallow,280,unknown,-2.115646285,-1.744414606,-0.050255063,-0.03357022,3.192122221,-0.619653659,-0.614233798,-0.610719996,-0.657933025,-0.657589102,-0.652459695,-0.615402199,-0.656236058,2.247848567,-0.452626671,-0.437455542
-0.807913393,-0.303710324,-0.035853897,-0.612372436,shallow,250,safe,-0.187322848,-0.623418487,0.01975199,0.009300404,-0.531706123,-0.65288591,-0.648990872,-0.64603923,-0.6691938,-0.669361101,-0.663806102,-0.649278792,-0.667436582,2.788596742,-0.452626671,-0.61468046
-0.415392638,-1.518051858,-0.8201579,-0.612372436,deep,700,safe,1.465525812,-0.587257322,-1.164117291,-1.143162836,0.483312067,-0.595794607,-0.595583661,-0.589696643,-0.614723076,-0.617041105,-0.611973649,-0.593382413,-0.614559692,-0.164720213,-0.282166306,-0.653347714
0.089726219,-1.610346651,0.188232961,-0.612372436,deep,669,safe,1.741000589,-0.985030138,-0.624062878,-0.636280754,-0.380867507,-0.408330629,-0.409082287,-0.409736741,-0.501591571,-0.501675514,-0.499541065,-0.408754978,-0.500991595,0.001663841,-0.452626671,-0.437455542
-0.417908796,-1.503139599,-0.932201329,-0.612372436,shallow,50,unknown,1.465525812,-0.695740817,-0.989099657,-0.979245745,-0.302305727,-0.065782814,-0.066597945,-0.072522159,0.116441649,0.119362839,0.111359833,-0.068295213,0.115818621,-0.955044469,-0.452626671,-0.437455542
-0.378279297,-1.505154769,0.636406676,-0.612372436,shallow,unknown,safe,-0.738272402,0.316771807,-1.406641726,-1.360037756,-0.578843191,-0.180817528,-0.18104197,-0.186889199,0.013523405,0.016554047,0.012078767,-0.182628716,0.013972002,-1.038236496,-0.452626671,0.126441923
-0.375763138,-1.508782076,1.196623821,0.40824829,shallow,60,unknown,-0.462797625,-0.044839845,-1.381639207,-1.337845903,-0.033624442,-0.022325256,-0.015733934,-0.015338638,0.052805177,0.062595643,0.059785253,-0.018327237,0.058513618,-0.788660415,3.174189604,0.442224503
1.730261682,0.875970284,-0.8201579,-0.612372436,shallow,95,unsafe,-0.462797625,0.569899962,2.338735639,2.339444896,-0.537991065,3.234435312,3.28618812,3.329897297,2.637545804,2.702401041,2.643929576,3.283793722,2.661723626,-0.414296294,0.040620342,3.393824949
1.747874793,0.903779632,-1.940592189,-0.612372436,shallow,180,safe,0.363626705,-0.044839845,2.501252014,2.488231178,-0.413863454,-0.374246269,-0.369238811,-0.366008167,-0.443192669,-0.442815518,-0.441777536,-0.369796895,-0.442644683,-0.24791224,-0.282166306,-0.054005266
