Serial,Sample ID,Date,start time,end time,Village,Bari,Household,School,Block,N,E,Elev (m),Acc (m),aquifer,depth (ft),As tested results?,water temp ©,pH,EC (uS/cm),TDS (mg/L),turb (NTU),TLF1 (ppb),TLF2 (ppb),TLF3 (ppb),CDOM1 (ppb),CDOM2 (ppb),CDOM3 (ppb),TLF_Avg (ppb),CDOM_Avg (ppb),TLF:CDOM,E.coli (MPN/100mL),E.coli_dup (MPN/100mL),Risk,DOC (mg/L),DOC_dup,Interview done?,Notes
1,SC-BA-01,6-Jul-18,8:50,10:30,V31,,,120 No. Munshirhat Govt. Pri. School,A,2317.806,9041.481,14,6,deep,unknown,safe,28,6.28,2650,1354,0.52,2.09,2.04,2.02,4.36,4.33,4.32,2.05,4.33,0.47,13.6,no,High,0.72,,yes - me with Gopal and Joy Deep,"we were recording volume of pumped water for calibration, hopefully we can work faster when we don't have to do this; organic sulfurous smell"
2,HH-BA-02,6-Jul-18,15:30,16:30,V59,35,471,,A,2320.286,9042.556,10,6,shallow,280,unknown,27.2,6.45,1469,701,24,0.74,0.76,0.74,0.73,0.74,0.74,0.74,0.73,1.01,0,no,Low,,yes,yes - Joy Deep,"as we continued to pump more water there was increasing amounts of sediment. The first DOC rinse filter had a small amount of large reddish sediment. The later two filters had increasingly black, sparkly, fine sediment. By the time we used the probes the water was very murky. initial turbitiy was around 25 but we did it again with the water from the last TLF sample and it was 60 NTU; latrine a couple of metres away from the well"
3,HH-BA-03,6-Jul-18,16:50,17:30,V59,25,424,,A,2320.149,9042.551,10,3,shallow,250,safe,27.9,6.76,1525,718,0.3,0.35,0.35,0.32,0.30,0.29,0.30,0.34,0.30,1.14,0,no,Low,0.47,,yes - Joy Deep,none
4,SC-IE-04,7-Jul-18,10:15,11:00,C00,,,96 No. South Sarderkandi Govt. Pri. School,IE,2320.773,9039.538,3,3,deep,700,safe,28.5,6.77,578,261,6.76,1.02,0.98,0.99,2.38,2.29,2.31,1.00,2.33,0.43,4.7,4.7,Int,0.41,,yes - me with Gopal,"fine dark sediment on the filter, I took a photo; looks like Fe staining (red) on the tubewell slab"
5,SC-IE-05,7-Jul-18,11:35,12:00,V53,,,107 No. Chotohaldia Govt. Pri. School,IE,2321.576,9039.309,12,3,deep,669,safe,28.6,6.66,1010,462,1.26,3.22,3.18,3.13,6.70,6.70,6.67,3.18,6.69,0.47,0,no,Low,,yes,yes - me with Gopal,filters look clear; this was the tubewell by the very green pond and slide
6,HH-IE-06,7-Jul-18,13:20,14:20,C00,30,217,,IE,2320.769,9039.575,2,3,shallow,50,unknown,28.5,6.74,718,326,1.76,7.24,7.22,7.14,30.30,30.44,30.36,7.20,30.37,0.24,0,no,Low,,,yes - me with Gopal,a few small reddish flecks; skunky smell (not sulfurous)
7,HH-IE-07,7-Jul-18,14:30,15:20,C00,37,1078,,IE,2320.832,9039.570,16,3,shallow,unknown,safe,27.7,7.02,384,175,0,5.89,5.87,5.78,26.37,26.51,26.51,5.85,26.46,0.22,0,no,Low,1.62,,yes - me with Gopal,filter paper was clear; can't tell what the water smells like because all I could smell was cow poo from the cow pen a few meters away
8,HH-IE-08,7-Jul-18,15:30,16:45,C00,38,252,,IE,2320.836,9039.561,21,4,shallow,60,unknown,27.8,6.92,404,183.8,3.47,7.75,7.82,7.82,27.87,28.27,28.36,7.79,28.17,0.28,100,no,VHigh,2.11,,yes - me with Gopal,very fine grey sediment; was drilled 15 days ago and does not have a concrete slab yet; metalic smell probably from the pump
9,SC-BC-09,8-Jul-18,9:20,10:15,N00,,,21 No. West Aswinpur Govt. Pri. School,C,2324.184,9045.478,3,3,shallow,95,unsafe,27.8,7.09,3380,1642,0.26,45.97,46.77,47.60,126.57,129.18,128.57,46.78,128.11,0.37,13.6,1,High,6.69,6.94,yes - me with Joy Deep,"filter paper was discoloured (faded orangey); there is a latrine 1m away; the logger was broken but left there, it looks like someone was trying to open it but not steal it"
10,HH-BC-10,8-Jul-18,10:20,10:55,N00,#N/A,#N/A,,C,2324.212,9045.547,-7,3,shallow,180,safe,28.1,6.92,3510,1701,1.05,3.62,3.65,3.65,8.93,8.95,8.91,3.64,8.93,0.41,4.7,no,Int,1.34,,no,very few small flecks on filter paper but no discolouration; also a latrine 1m away; the owner is the head teacher from SC-BC-09 school
