Date,River/Stream,Location,Location Code / SL No.,Latitude,Longitude,Temp (°C),pH,EC (µS/cm),TDS (mg/L),DO (mg/L),ORP (mV),"Turbidity
(NTU)",Color (Pt-Co),"Suspended Solids
(mg/L)","Alkalinity
(Total) (mg/L as CaCO3)",Ferrous Iron (mg/L),"Ammonia-Nitrogen
(NH3-N) (mg/L)","Nitrate
(mg/L)","Phosphate
(mg/L)",Sulfide (ug/L),Sulfate (mg/L),Chloride (mg/L),"COD
(mg/L)","TOC
(mg/L)",TC (count/100 mL),E.coli (count/100mL),"Al 
(ppb)","Ti 
(ppb)","V 
(ppb)","Cr 
(ppb)","Mn 
(ppb)","Co 
(ppb)","Ni
(ppb)","Cu 
(ppb)","Zn
(ppb)","Ge
(ppb)","As
(ppb)","Rb
(ppb)","Sr
(ppb)","Zr
(ppb)","Nb
(ppb)","Mo 
(ppb)","Ba 
ppb)","Fe 
(ppb)","Ga 
(ppb)","Li
(ppb)","Ag
(ppb)","Cd
(ppb)","Sn
(ppb)","Sb
(ppb)","Cs
(ppb)","Hf
(ppb)","Ta
(ppb)","W
(ppb)","Hg
(ppb)","Tl 
(ppb)","Pb
(ppb)","Th
(ppb)","U
(ppb)","Se
(ppb)","Mg 
(ppb)","Ca
(ppb)",Project,Sampling Remarks
1/25/2017,Turag,u/s of Konabari,L-1,24.0195,90.3444,21.9,6.63,848,439,0.27,-121,21,52,23,140,0.08,3.21,2.8,0.35,,,,86,,23000,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REACH,
1/25/2017,Turag,Konabari Powerplant,L-2,23.9948,90.3419,24.8,7.95,915,450,0.29,-140,19.61,85,32,180,0.06,3.59,2.8,1.35,,,,58,,15000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REACH,
1/25/2017,Turag,d/s of Konabari,L-3,23.9868,90.3257,23.9,8.02,841,426,0.42,-165,45.6,80,35,215,0.48,3.01,5.1,0.84,,,,76,,85000,48000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REACH,
1/25/2017,Turag,d/s of Kashimpur,L-4,23.9804,90.3377,24.1,7.94,875,434,0.23,-173,30.5,72,29,190,0.02,3.56,4,1.05,,,,108,,43000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REACH,
2/27/2017,Tongi Khal,d/s Ashulia Landing station,L-20,23.8944,90.3648,25.8,8.29,1550,736,0.22,-158,179,1294,228,290,0.2,7,0.9,0.21,32,100,260,80,17.15,1300000,80000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JICA-JST,
2/27/2017,Tongi Khal,u/s Ijtema Field,L-21,23.8917,90.3899,25.6,7.59,1116,543,0.43,-231,106,761,146,270,0.18,11.15,0.9,1.68,6,88,240,85,12.7,1520000,420000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JICA-JST,
2/27/2017,Tongi Khal,d/s Railway Bridge,L-22,23.8818,90.4064,27.4,7.44,1099,516,0.23,-241,62.1,1107,142,325,0.56,21,3.1,7.62,8,66,210,138,30.1,2120000,1020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JICA-JST,
2/27/2017,Tongi Khal,d/s of Hussein Dyeing,L-23,23.8893,90.4232,26.3,8.09,1448,696,0.4,-259,55.1,1041,135,350,0.34,24.45,0.4,7.56,21,87,180,152,32.6,3240000,980000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JICA-JST,
2/27/2017,Tongi Khal,Mausaid (d/s Pagar Canal),L-24,23.8992,90.4366,21.3,8.02,1588,712,0.36,-264,59.5,985,155,420,0.46,21.35,3.5,7.9,3.7,90,220,135,31,2320000,520000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JICA-JST,
2/27/2017,Balu,u/s of Purbachal,L-26,23.8622,90.4750,25.2,7.82,1268,621,0.28,-247,82.5,782,157,400,0.38,20.15,1.3,10.26,20,84,260,93,8.65,3820000,840000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JICA-JST,
2/27/2017,Balu,d/s of Purbachal (Ichhapur bridge),L-27,23.8272,90.4873,24.3,7.61,1093,525,0.01,-255,87.8,890,180,345,0.36,21.35,0.9,6.82,18,58,250,85,21.7,3220000,1120000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JICA-JST,
2/27/2017,Balu,Beraid,L-28,23.7777,90.4779,27.7,7.32,1040,501,0.63,-263,63.7,826,157,270,0.28,25.4,3.1,7.02,20,44,170,108,16.7,3760000,2300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JICA-JST,
2/27/2017,Balu,d/s of Begunbari Canal,L-29,23.7597,90.4835,26.8,7.51,925,447,0.32,-270,79.5,954,191,305,0.18,18,2.7,5.76,7,42,230,89,18.3,4280000,1280000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JICA-JST,
2/27/2017,Balu,Demra (u/s of confluence),L-30,23.7279,90.5010,27.8,7.54,1063,503,0.2,-271,146,757,163,305,0.26,16.4,1.3,3.3,18,51,220,74,13.7,2700000,220000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JICA-JST,
